code,name,exchange,market
002304,洋河股份,SZSE,深市
002311,海大集团,SZSE,深市
002352,顺丰控股,SZSE,深市
002371,北方华创,SZSE,深市
002415,海康威视,SZSE,深市
002460,赣锋锂业,SZSE,深市
002475,立讯精密,SZSE,深市
002594,比亚迪,SZSE,深市
002714,牧原股份,SZSE,深市
300015,爱尔眼科,SZSE,深市
300033,同花顺,SZSE,深市
300059,东方财富,SZSE,深市
300122,智飞生物,SZSE,深市
300124,汇川技术,SZSE,深市
300274,阳光电源,SZSE,深市
300347,泰格医药,SZSE,深市
300408,三环集团,SZSE,深市
300413,芒果超媒,SZSE,深市
300433,蓝思科技,SZSE,深市
300498,温氏股份,SZSE,深市
300661,圣邦股份,SZSE,深市
300750,宁德时代,SZSE,深市
300759,康龙化成,SZSE,深市
300760,迈瑞医疗,SZSE,深市
300782,卓胜微,SZSE,深市
600000,浦发银行,SSE,沪市
600009,上海机场,SSE,沪市
600011,华能国际,SSE,沪市
600016,民生银行,SSE,沪市
600019,宝钢股份,SSE,沪市
600028,中国石化,SSE,沪市
600029,南方航空,SSE,沪市
600030,中信证券,SSE,沪市
600031,三一重工,SSE,沪市
600036,招商银行,SSE,沪市
600048,保利发展,SSE,沪市
600050,中国联通,SSE,沪市
600104,上汽集团,SSE,沪市
600115,中国东航,SSE,沪市
600150,中国船舶,SSE,沪市
600188,兖矿能源,SSE,沪市
600196,复星医药,SSE,沪市
600276,恒瑞医药,SSE,沪市
600309,万华化学,SSE,沪市
600406,国电南瑞,SSE,沪市
600436,片仔癀,SSE,沪市
600438,通威股份,SSE,沪市
600519,贵州茅台,SSE,沪市
600570,恒生电子,SSE,沪市
600585,海螺水泥,SSE,沪市
600600,青岛啤酒,SSE,沪市
600660,福耀玻璃,SSE,沪市
600690,海尔智家,SSE,沪市
600809,山西汾酒,SSE,沪市
600886,国投电力,SSE,沪市
600887,伊利股份,SSE,沪市
600893,航发动力,SSE,沪市
600900,长江电力,SSE,沪市
600941,中国移动,SSE,沪市
601006,大秦铁路,SSE,沪市
601012,隆基绿能,SSE,沪市
601088,中国神华,SSE,沪市
601111,中国国航,SSE,沪市
601166,兴业银行,SSE,沪市
601225,陕西煤业,SSE,沪市
601238,广汽集团,SSE,沪市
601288,农业银行,SSE,沪市
601318,中国平安,SSE,沪市
601328,交通银行,SSE,沪市
601398,工商银行,SSE,沪市
601601,中国太保,SSE,沪市
601628,中国人寿,SSE,沪市
601668,中国建筑,SSE,沪市
601688,华泰证券,SSE,沪市
601728,中国电信,SSE,沪市
601800,中国交建,SSE,沪市
601818,光大银行,SSE,沪市
601857,中国石油,SSE,沪市
601888,中国中免,SSE,沪市
601899,紫金矿业,SSE,沪市
601919,中远海控,SSE,沪市
601939,建设银行,SSE,沪市
601985,中国核电,SSE,沪市
603259,药明康德,SSE,沪市
603288,海天味业,SSE,沪市
603986,兆易创新,SSE,沪市
688012,中微公司,SSE,沪市
688036,传音控股,SSE,沪市
688111,金山办公,SSE,沪市
688981,中芯国际,SSE,沪市
